id,name,popularity,genres,related_artist_ids,related_artist_names
3w2HqkKa6upwuXEULtGvnY,FLOW,63,"['anime', 'j-poprock', 'otacore']","['41wiRMqVmNSZ3FFM7JIeht', '16FpDRuy5xMHpuLYZV0Hkt', '2mg9AmMi3b9jTbaOR5If4C', '2XhA8BOHxO5NwbY6q3W8mD', '6m14xgA0m3w92UM7ujJgky', '2KnTQRef7hcVlK7vO9wPzI', '12CmFAwzxYnVtJgnzIysvm', '4rqJz9fE9prZvQd8WsQv6q', '0Oazwl71qoHvXnbSxv0wOT', '0MK8l3nURwwQIjafvXoJJt', '18moNotPmBWa2YZtRnIoZ3', '24b231EnCM3BkpiuWs5VBE', '7gRg6C2qgQ1F01k3sgyEVt', '5YneEA2nLtAhkD5t2769lZ', '3B9O5mYYw89fFXkwKh7jCS', '3NTbOmzlj2cL86XFuDVFvZ', '6cutt8thPFUICMfxaYerWd', '046RRGSoYRQ7qIKliJJSNS', '3PWp9R5HvbQgxI5KBx5kVd', '2zwGPEFviyaICCDiAWxLjy']","['BACK-ON', 'NICO Touches the Walls', ""ROOKiEZ is PUNK'D"", 'Aqua Timez', 'UVERworld', 'Home Made Kazoku', 'Hello Sleepwalkers', 'THE ORAL CIGARETTES', 'BURNOUT SYNDROMES', 'ASIAN KUNG-FU GENERATION', 'Eir Aoi', 'SID', 'SPYAIR', 'Ikimonogakari', 'TK from Ling tosite sigure', 'MAN WITH A MISSION', 'MY FIRST STORY', 'Shoko Nakagawa', 'KANA-BOON', 'DOES']"
41wiRMqVmNSZ3FFM7JIeht,BACK-ON,49,"['anime', 'anime rock', 'j-poprock', 'otacore']","['2mg9AmMi3b9jTbaOR5If4C', '3GnM9zjuaItYitYvN8lneJ', '3w2HqkKa6upwuXEULtGvnY', '6cutt8thPFUICMfxaYerWd', '16FpDRuy5xMHpuLYZV0Hkt', '07wkA1PSnyfE7GcxKzf8sX', '12CmFAwzxYnVtJgnzIysvm', '2XhA8BOHxO5NwbY6q3W8mD', '6m14xgA0m3w92UM7ujJgky', '3jdzcmtw5XOmOkSb2mRDtr', '7gRg6C2qgQ1F01k3sgyEVt', '35VNJ4BFDvs9XkLf6ghUi6', '2KnTQRef7hcVlK7vO9wPzI', '0r2CfjmaWc0FMbbmsb4zgD', '4awZsyevkX7tP6nu1rFvUq', '3j8Vtsosedh2OfhYZ381pC', '7hTZwqQILVH4bAbN67CeEz', '5Kpt1mryjiwHa9goYPQG1o', '18moNotPmBWa2YZtRnIoZ3', '6nvlfxR3ZRCNzw39ZTcGSR']","[""ROOKiEZ is PUNK'D"", 'Mashiro Ayano', 'FLOW', 'MY FIRST STORY', 'NICO Touches the Walls', 'Abingdon Boys School', 'Hello Sleepwalkers', 'Aqua Timez', 'UVERworld', 'T.M.Revolution', 'SPYAIR', 'Stereopony', 'Home Made Kazoku', 'WEAVER', 'Nami Tamaki', 'LAST ALLIANCE', 'SCANDAL', 'flumpool', 'Eir Aoi', 'Lenny code fiction']"
16FpDRuy5xMHpuLYZV0Hkt,NICO Touches the Walls,55,"['anime', 'j-pop', 'j-poprock', 'j-rock']","['3w2HqkKa6upwuXEULtGvnY', '41wiRMqVmNSZ3FFM7JIeht', '7p2S6p9yYGhJTtbTQFnsYZ', '2KnTQRef7hcVlK7vO9wPzI', '5jQa0f5MIMPEK7udL7UpI6', '0Oazwl71qoHvXnbSxv0wOT', '12CmFAwzxYnVtJgnzIysvm', '5Kpt1mryjiwHa9goYPQG1o', '6iglpAqZTAmvm0ffNKlaFS', '4rqJz9fE9prZvQd8WsQv6q', '2mg9AmMi3b9jTbaOR5If4C', '2XhA8BOHxO5NwbY6q3W8mD', '2zwGPEFviyaICCDiAWxLjy', '0aqPTOZlKG6ltJHv7BNlsm', '3srPc1Mytv5GmTWqsQuoXW', '1luOe8HkZQ7zwuaO2wuJqI', '5ydDSP9qSxEOlHWnpbblFB', '0MK8l3nURwwQIjafvXoJJt', '6m14xgA0m3w92UM7ujJgky', '3PWp9R5HvbQgxI5KBx5kVd']","['FLOW', 'BACK-ON', 'Galileo Galilei', 'Home Made Kazoku', 'PornoGraffitti', 'BURNOUT SYNDROMES', 'Hello Sleepwalkers', 'flumpool', 'tacica', 'THE ORAL CIGARETTES', ""ROOKiEZ is PUNK'D"", 'Aqua Timez', 'DOES', 'go!go!vanillas', 'frederic', '[Alexandros]', 'Sambomaster', 'ASIAN KUNG-FU GENERATION', 'UVERworld', 'KANA-BOON']"
2mg9AmMi3b9jTbaOR5If4C,ROOKiEZ is PUNK'D,44,"['anime', 'anime rock', 'j-poprock', 'japanese pop punk']","['41wiRMqVmNSZ3FFM7JIeht', '3GnM9zjuaItYitYvN8lneJ', '3w2HqkKa6upwuXEULtGvnY', '12CmFAwzxYnVtJgnzIysvm', '0mxcC38vLiMEP8g4MVNhO4', '16FpDRuy5xMHpuLYZV0Hkt', '07wkA1PSnyfE7GcxKzf8sX', '3j8Vtsosedh2OfhYZ381pC', '6cutt8thPFUICMfxaYerWd', '7gRg6C2qgQ1F01k3sgyEVt', '2UuqBfUO2fG9JUvMitpXKT', '35AeYLIKrorZDAxsb40vVZ', '2XhA8BOHxO5NwbY6q3W8mD', '2KnTQRef7hcVlK7vO9wPzI', '4rqJz9fE9prZvQd8WsQv6q', '3IN5Twv2f6MM4yIyhwHIIo', '0r2CfjmaWc0FMbbmsb4zgD', '08aT4nW2iKh4WRoYojWmDE', '7zyObVag8rUjItn71SkIrh', '5Kpt1mryjiwHa9goYPQG1o']","['BACK-ON', 'Mashiro Ayano', 'FLOW', 'Hello Sleepwalkers', 'Nano', 'NICO Touches the Walls', 'Abingdon Boys School', 'LAST ALLIANCE', 'MY FIRST STORY', 'SPYAIR', 'ALL OFF', 'ラックライフ', 'Aqua Timez', 'Home Made Kazoku', 'THE ORAL CIGARETTES', 'THREE LIGHTS DOWN KINGS', 'WEAVER', 'The Winking Owl', 'Survive Said The Prophet', 'flumpool']"
2XhA8BOHxO5NwbY6q3W8mD,Aqua Timez,53,"['anime', 'j-pop', 'j-poprock', 'j-rock']","['4upiYMjsFfLRieGo8RVRzD', '6m14xgA0m3w92UM7ujJgky', '5YneEA2nLtAhkD5t2769lZ', '3w2HqkKa6upwuXEULtGvnY', '41wiRMqVmNSZ3FFM7JIeht', '16FpDRuy5xMHpuLYZV0Hkt', '2KnTQRef7hcVlK7vO9wPzI', '07wkA1PSnyfE7GcxKzf8sX', '68vPeaQOlnY1aA3iBKCEpG', '7gRg6C2qgQ1F01k3sgyEVt', '2mg9AmMi3b9jTbaOR5If4C', '5uisl58N23dXm8fGfbLF8m', '7hTZwqQILVH4bAbN67CeEz', '35VNJ4BFDvs9XkLf6ghUi6', '5Kpt1mryjiwHa9goYPQG1o', '6BP2pX1i8U6yZHXRvStQ74', '2zwGPEFviyaICCDiAWxLjy', '6U2dgcU46Iy9pF3RQBj5hG', '7whUoQAv5bVu2Cv4ZmgTyw', '7fbci1uWFfz9Mp8ogoeyFr']","['ORANGE RANGE', 'UVERworld', 'Ikimonogakari', 'FLOW', 'BACK-ON', 'NICO Touches the Walls', 'Home Made Kazoku', 'Abingdon Boys School', 'HIGH and MIGHTY COLOR', 'SPYAIR', ""ROOKiEZ is PUNK'D"", 'D-51', 'SCANDAL', 'Stereopony', 'flumpool', 'SunSet Swish', 'DOES', 'Monkey Majik', 'Akeboshi', 'SPLAY']"
6m14xgA0m3w92UM7ujJgky,UVERworld,65,"['anime', 'j-pop', 'j-poprock', 'otacore']","['2XhA8BOHxO5NwbY6q3W8mD', '41wiRMqVmNSZ3FFM7JIeht', '07wkA1PSnyfE7GcxKzf8sX', '4upiYMjsFfLRieGo8RVRzD', '3w2HqkKa6upwuXEULtGvnY', '16FpDRuy5xMHpuLYZV0Hkt', '2mg9AmMi3b9jTbaOR5If4C', '3jdzcmtw5XOmOkSb2mRDtr', '24b231EnCM3BkpiuWs5VBE', '7gRg6C2qgQ1F01k3sgyEVt', '0MK8l3nURwwQIjafvXoJJt', '5Kpt1mryjiwHa9goYPQG1o', '5YneEA2nLtAhkD5t2769lZ', '7k73EtZwoPs516ZxE72KsO', '7hTZwqQILVH4bAbN67CeEz', '2KnTQRef7hcVlK7vO9wPzI', '5jQa0f5MIMPEK7udL7UpI6', '71LKcHW1wWN6dbYWvsbQRh', '0ZXSQd2JNOfwJcLNbX0jpN', '2zwGPEFviyaICCDiAWxLjy']","['Aqua Timez', 'BACK-ON', 'Abingdon Boys School', 'ORANGE RANGE', 'FLOW', 'NICO Touches the Walls', ""ROOKiEZ is PUNK'D"", 'T.M.Revolution', 'SID', 'SPYAIR', 'ASIAN KUNG-FU GENERATION', 'flumpool', 'Ikimonogakari', 'ONE OK ROCK', 'SCANDAL', 'Home Made Kazoku', 'PornoGraffitti', 'Acid Black Cherry', 'HYDE', 'DOES']"
2KnTQRef7hcVlK7vO9wPzI,Home Made Kazoku,46,['j-poprock'],"['16FpDRuy5xMHpuLYZV0Hkt', '5MRAExqyhUPkktT9yWNvIe', '2XhA8BOHxO5NwbY6q3W8mD', '41wiRMqVmNSZ3FFM7JIeht', '6BP2pX1i8U6yZHXRvStQ74', '1vdERZ9WP3Uyx4FNkT4hqK', '4upiYMjsFfLRieGo8RVRzD', '5uisl58N23dXm8fGfbLF8m', '5jQa0f5MIMPEK7udL7UpI6', '1txC4MvuCHFRrtRiy4cwnR', '2mg9AmMi3b9jTbaOR5If4C', '5kgH3qVSSDPPmKnQfrkblH', '3jO3oDlkVv4sTyvm6lyE0p', '3w2HqkKa6upwuXEULtGvnY', '6U2dgcU46Iy9pF3RQBj5hG', '151w10AZKmL4a6iPwgxap3', '7CifQjntMwkU4kfV85zTnS', '58WqD0AmJH03qw4AUN00Yx', '5m0p1hLwjTBVYdgUyQaNaQ', '6lAinPkC2U1Huibu6Vfr9R']","['NICO Touches the Walls', 'KICK THE CAN CREW', 'Aqua Timez', 'BACK-ON', 'SunSet Swish', ""SOUL'd OUT"", 'ORANGE RANGE', 'D-51', 'PornoGraffitti', 'SEAMO', ""ROOKiEZ is PUNK'D"", 'RIP SLYME', 'ET-KING', 'FLOW', 'Monkey Majik', 'MINMI', 'Def Tech', 'Kishidan', 'Road Of Major', 'KREVA']"
12CmFAwzxYnVtJgnzIysvm,Hello Sleepwalkers,51,"['anime rock', 'j-poprock', 'j-rock', 'okinawan pop']","['6cutt8thPFUICMfxaYerWd', '0LlH6J1tj2TPq7AlwXAkY5', '3B9O5mYYw89fFXkwKh7jCS', '4rqJz9fE9prZvQd8WsQv6q', '4bykb0rz2eT2t2kzihCsne', '2BM933ADIluGGrPBOhPgIt', '3srPc1Mytv5GmTWqsQuoXW', '6nvlfxR3ZRCNzw39ZTcGSR', '0r2CfjmaWc0FMbbmsb4zgD', '35AeYLIKrorZDAxsb40vVZ', '7zyObVag8rUjItn71SkIrh', '2mg9AmMi3b9jTbaOR5If4C', '5CVx8gIHxBaYMuQVXr8ogM', '3PWp9R5HvbQgxI5KBx5kVd', '5zV9afUO4DVqJeRaZvfNev', '1CWmF1EcrKoWIbZt9Ivfg2', '19hnen14uXCUMoBAnTmrCp', '41wiRMqVmNSZ3FFM7JIeht', '00DuPiLri3mNomvvM3nZvU', '0mxcC38vLiMEP8g4MVNhO4']","['MY FIRST STORY', 'Cö Shu Nie', 'TK from Ling tosite sigure', 'THE ORAL CIGARETTES', 'BRADIO', 'SiM', 'frederic', 'Lenny code fiction', 'WEAVER', 'ラックライフ', 'Survive Said The Prophet', ""ROOKiEZ is PUNK'D"", 'Brian the Sun', 'KANA-BOON', 'POLKADOT STINGRAY', 'BLUE ENCOUNT', 'Kami-sama, I have noticed', 'BACK-ON', 'Ling tosite sigure', 'Nano']"
4rqJz9fE9prZvQd8WsQv6q,THE ORAL CIGARETTES,62,"['j-poprock', 'j-rock', 'japanese indie rock']","['12CmFAwzxYnVtJgnzIysvm', '3srPc1Mytv5GmTWqsQuoXW', '4bykb0rz2eT2t2kzihCsne', '0LlH6J1tj2TPq7AlwXAkY5', '0aqPTOZlKG6ltJHv7BNlsm', '5CVx8gIHxBaYMuQVXr8ogM', '5zV9afUO4DVqJeRaZvfNev', '1luOe8HkZQ7zwuaO2wuJqI', '3PWp9R5HvbQgxI5KBx5kVd', '6Gem5Nh6gd9PCtWdzR7Odh', '3B9O5mYYw89fFXkwKh7jCS', '7zyObVag8rUjItn71SkIrh', '2BM933ADIluGGrPBOhPgIt', '1CWmF1EcrKoWIbZt9Ivfg2', '6cutt8thPFUICMfxaYerWd', '0ySFZq3Wd0SQUyJUzmJAeb', '3NTbOmzlj2cL86XFuDVFvZ', '16FpDRuy5xMHpuLYZV0Hkt', '0mxcC38vLiMEP8g4MVNhO4', '35AeYLIKrorZDAxsb40vVZ']","['Hello Sleepwalkers', 'frederic', 'BRADIO', 'Cö Shu Nie', 'go!go!vanillas', 'Brian the Sun', 'POLKADOT STINGRAY', '[Alexandros]', 'KANA-BOON', '04 Limited Sazabys', 'TK from Ling tosite sigure', 'Survive Said The Prophet', 'SiM', 'BLUE ENCOUNT', 'MY FIRST STORY', 'sumika', 'MAN WITH A MISSION', 'NICO Touches the Walls', 'Nano', 'ラックライフ']"
0Oazwl71qoHvXnbSxv0wOT,BURNOUT SYNDROMES,62,"['anime', 'anime rock', 'j-poprock', 'otacore']","['16FpDRuy5xMHpuLYZV0Hkt', '3PWp9R5HvbQgxI5KBx5kVd', '4rqJz9fE9prZvQd8WsQv6q', '12CmFAwzxYnVtJgnzIysvm', '0LlH6J1tj2TPq7AlwXAkY5', '35AeYLIKrorZDAxsb40vVZ', '1CWmF1EcrKoWIbZt9Ivfg2', '3w2HqkKa6upwuXEULtGvnY', '0ySFZq3Wd0SQUyJUzmJAeb', '3B9O5mYYw89fFXkwKh7jCS', '4bykb0rz2eT2t2kzihCsne', '18moNotPmBWa2YZtRnIoZ3', '7gRg6C2qgQ1F01k3sgyEVt', '449AEgfeOxqAuRn0uX6l3u', '6nvlfxR3ZRCNzw39ZTcGSR', '3NTbOmzlj2cL86XFuDVFvZ', '5CVx8gIHxBaYMuQVXr8ogM', '6iglpAqZTAmvm0ffNKlaFS', '6m14xgA0m3w92UM7ujJgky', '2zwGPEFviyaICCDiAWxLjy']","['NICO Touches the Walls', 'KANA-BOON', 'THE ORAL CIGARETTES', 'Hello Sleepwalkers', 'Cö Shu Nie', 'ラックライフ', 'BLUE ENCOUNT', 'FLOW', 'sumika', 'TK from Ling tosite sigure', 'BRADIO', 'Eir Aoi', 'SPYAIR', 'UNISON SQUARE GARDEN', 'Lenny code fiction', 'MAN WITH A MISSION', 'Brian the Sun', 'tacica', 'UVERworld', 'DOES']"
